title,description,email,url,thumbnail,Keyword1,Keyword2,Keyword3
The 12th Can,"The 12th Can Food Pantry intends to eliminate food insecurity on campus for students, faculty, and staff at Texas A&M University and to show others the power of the Aggie Spirit. The 12th Can provides an essential resource for Aggies on-campus, now more than ever.",12thcan.director@gmail.com,https://getinvolved.tamu.edu/org/the-12th-can,https://getinvolved.tamu.edu/storage/organizations/1111/images/icon.png,Food,Pantry,Service
12th Law Man,"The purpose of the 12th Law Man is to preserve and promote the traditions of Texas A&M University School of Law through outreach and education. The 12th Law Man will seek to encourage the unity of our student body by providing opportunities for students to be involved in many of the time honored traditions of the Texas A&M University system, as well as traditions unique to the Texas A&M University School of Law.",12thlawman@law.tamu.edu,https://getinvolved.tamu.edu/org/12th-law-man,https://getinvolved.tamu.edu/images/tamu-logo-white.png,Law,Traditions,Outreach
180 Degrees Consulting TAMU,180 Degrees Consulting's aim is to make a global social impact by enabling intelligent young people from around the world to provide advice to socially oriented organizations to help them solve their biggest challenges.,texasam@180dc.org,https://getinvolved.tamu.edu/org/180-degrees,https://getinvolved.tamu.edu/images/tamu-logo-white.png,Consulting,Degrees,Impact
1st Battalion Staff,"First Battalion Staff is a part of the Texas A&M Corps of Cadets System. First Battalion Staff supports/oversees Companies A-2, B-1, F-2, and L-1.",,https://getinvolved.tamu.edu/org/1stbatt,https://getinvolved.tamu.edu/storage/organizations/517/images/icon.PNG,Military,Leadership,Training
1st Brigade,,,https://getinvolved.tamu.edu/org/1st-brigade,https://getinvolved.tamu.edu/images/tamu-logo-white.png,Nan,Brigade,Community
1st Group Staff,"First Group will provide guidance, resources, and assistance to its outfits to enable them to carry out the Corps Mission of developing well-educated leaders of character who are prepared for the global challenges of the future.",,https://getinvolved.tamu.edu/org/520,https://getinvolved.tamu.edu/storage/organizations/520/images/icon.jpeg,Group,Staff,Enable
1st Regiment,To support the mission of the Corps of Cadets using the ethos of the Navy/Marine Corps team as a reference. We are the Navy/Marine Corps section of the Corps.,,https://getinvolved.tamu.edu/org/1st-regiment,https://getinvolved.tamu.edu/images/tamu-logo-white.png,Military,Leadership,Training
1st Wing,The Wing will be composed of well-supported and connected outfits that operate to fosteran environment that pushes the individual and unit towards a disciplined lifestyle andcompetitive improvement.,,https://getinvolved.tamu.edu/org/1st-wing,https://getinvolved.tamu.edu/images/tamu-logo-white.png,Wing,Unit,Supported
2nd Group Staff,"2nd Group Staff's purpose is to lead and support Squadrons 1, 12, 16, 18, and 21 as they train and develop well-educated leaders within the Corps of Cadets.",csilvester@tamu.edu,https://getinvolved.tamu.edu/org/103,https://getinvolved.tamu.edu/storage/organizations/103/images/icon.jpeg,Military,Leadership,Training
3rd Battalion Staff,Third Brigade promotes a people-centric organization that cultivates engaged cadets focused on professional development and proactively pursuing success.,,https://getinvolved.tamu.edu/org/3bde,https://getinvolved.tamu.edu/storage/organizations/1144/images/icon.jpeg,Military,Leadership,Training
4th Group Staff,,aggiecorps@corps.tamu.edu,https://getinvolved.tamu.edu/org/4grp,https://getinvolved.tamu.edu/storage/organizations/2668/images/icon.png,Staff,Nan,Group
5th Battalion Staff,,,https://getinvolved.tamu.edu/org/5thbatt,https://getinvolved.tamu.edu/images/tamu-logo-white.png,Staff,Nan,Battalion
6th Battalion Staff,6th Battalion strives to be the most competitive Battalion in the Corps by leveraging every cadet and student capability for victory and fostering an environment where its members feel part of a genuine team equipped for the military or civilian world.,charlie21@tamu.edu,https://getinvolved.tamu.edu/org/tamu6thbatt,https://getinvolved.tamu.edu/images/tamu-logo-white.png,Military,Leadership,Training
7th Battalion Staff,The purpose of 7th Battalion is to provide a more concentrated executive structure to satisfy the mission of the Corps of Cadets: The Corps of Cadets develops well-educated leaders of character prepared for the global leadership challenges of the future.,Zachary.schutz@tamu.edu,https://getinvolved.tamu.edu/org/3reg,https://getinvolved.tamu.edu/images/tamu-logo-white.png,Military,Leadership,Training
A Battery,,abattemaillist@gmail.com,https://getinvolved.tamu.edu/org/a-battery,https://getinvolved.tamu.edu/images/tamu-logo-white.png,Nan,Battery,Community
A&M Esports,"To create a welcoming, remarkable, and fulfilling environment for video game enthusiasts, while spearheading the collegiate esports sector by empowering our esports teams.",tamu.esports.400@gmail.com,https://getinvolved.tamu.edu/org/esports,https://getinvolved.tamu.edu/storage/organizations/107/images/icon.jpeg,Esports,Welcoming,Video
A&M Photography Club,This organization is aimed towards A&M students who enjoy photography and taking pictures as a lifestyle. A&M Photography Club provides a more interconnected campus social network through photo sharing and collaboration among A&M students and A&M student groups while promoting awareness of the enriching opportunities available to all students. We intend to enrich the Aggie experience by organizing a photography network of students who enjoy taking pictures and making their photos easily accessible for the enjoyment of everyone in the A&M community.,photographyclub.tamu@gmail.com,https://getinvolved.tamu.edu/org/photography-club,https://getinvolved.tamu.edu/storage/organizations/108/images/icon.jpeg,Photography,Pictures,Network
A&M Students Promoting Innovation and Research Advancement,"A&M Students Promoting Innovation and Research Advancement (ASPIRA) exists to empower students with the skills, knowledge, and opportunities needed to excel in academic research, data literacy, and responsible civic engagement. By offering practical workshops, networking sessions, and professional development activities, we foster academic excellence, leadership skills, and workforce readiness. We welcome all students seeking to learn, grow, and serve.",aspiratamu@gmail.com,https://getinvolved.tamu.edu/org/2917,https://getinvolved.tamu.edu/images/tamu-logo-white.png,Research,Academic,Development
A&M United Methodist Church's College Ministry,We strive to build connections with fellow students and fellow disciples of Christ.,college@am-umc.org,https://getinvolved.tamu.edu/org/amumc-college-ministry,https://getinvolved.tamu.edu/storage/organizations/110/images/icon.jpeg,Religious,Faith,Community
A-Company Band,"A-Company is one of the six companies that make up the Aggie Band in the Corps of Cadets. Our outfit will build men and women of character who relentlessly pursue their development as scholars, professionals, and leaders. We believe that integrity cannot be bought, excellence is achieved by hard work, and service to others before self is honorable.",acowolfpack@gmail.com,https://getinvolved.tamu.edu/org/111,https://getinvolved.tamu.edu/storage/organizations/111/images/icon.jpeg,Military,Leadership,Training
A-Line Magazine,"We strive to enkindle the human spirit through self-expression and embolden all to excel beyond social norms. Self expression can be seen in many forms. Whether it's in writing an article, capturing a photo, filming a video or creating a graphic design, we encourage our staff and readers to challenge themselves creatively and freely express their original ideas. The A-Line team is made up of a community of collaborators, working to produce weekly content for our site and social media, as well as a semesterly print issue. We hope our content makes you feel inspired to pursue what sets your soul on fire. Let's get to creating.",thealinemag@gmail.com,https://getinvolved.tamu.edu/org/a-line,https://getinvolved.tamu.edu/storage/organizations/112/images/icon.jpeg,Self,Line,Content
Academy of General Dentistry FellowTrack,,,https://getinvolved.tamu.edu/org/agdfellowtrack,https://getinvolved.tamu.edu/images/tamu-logo-white.png,Nan,General,Fellowtrack
Adventist Christian Fellowship,"ACF is a campus ministry for students, by students, fueled by our love for God and for each other. We strive to provide a ""home away from home"" where students can share their faith, make lasting friendships, and develop a deeper relationship and love for God.",tamu.acf@gmail.com,https://getinvolved.tamu.edu/org/acf,https://getinvolved.tamu.edu/images/tamu-logo-white.png,Religious,Faith,Community
Aerospace Engineering Graduate Student Association,"1. Enrich the graduate experience for graduate students in the Aerospace Engineering department 2. Act as liaisons between the graduate student body within the Aerospace Engineering department and the department itself, College of Engineering, and University. 3. Provide a platform for graduate students to interact with each other and organize year-round social and academic activities. 4. Organize and participate in outreach activities within the community, department, and University.",aegsa@tamu.edu,https://getinvolved.tamu.edu/org/aegsa,https://getinvolved.tamu.edu/images/tamu-logo-white.png,Engineering,Technical,Innovation
Aesthetic and Cosmetic Dentistry Club,"The purpose of the ACDC is to give dental students the opportunity and resources to learn, explore, promote awareness, and network within the field of aesthetic and cosmetic dentistry.",acdcdentistry@gmail.com,https://getinvolved.tamu.edu/org/acdc,https://getinvolved.tamu.edu/images/tamu-logo-white.png,Dentistry,Cosmetic,Aesthetic
African Students Association,"The purposes of the association are as follows:1) To foster a greater understanding and unity among students from all African countries attending Texas A&M University (TAMU) regardless of race, color, religious affiliation, sex, sexual orientation, age, national origin, or handicaps.2) To promote, encourage and support academic, athletic, cultural, and social activities, and encourage participation in said activities.3) To stimulate interaction among African students, students of TAMU, and society at large.4) To welcome and assist incoming African students to TAMU in cooperation with the office of International Students Services.",asalistseve@gmail.com,https://getinvolved.tamu.edu/org/africanstudents,https://getinvolved.tamu.edu/images/tamu-logo-white.png,African,Tamu,Activities
Agape Family Medicine Clinic,"Provide medical care for the underserved populations of Dallas, TX",,https://getinvolved.tamu.edu/org/1246,https://getinvolved.tamu.edu/images/tamu-logo-white.png,Underserved,Provide,Populations
Aggie Accounting Association,Our mission is to create a community at Texas A&M for students interested in accounting. We will seek to foster relationships between our members and equip them with the knowledge and skills to be better prepared for a career in accounting.,aggieacctassociation@gmail.com,https://getinvolved.tamu.edu/org/aaa,https://getinvolved.tamu.edu/storage/organizations/118/images/icon.png,Accounting,Foster,Aggie
Aggie ACHIEVEMates,"Aggie ACHIEVEMates seeks to support students enrolled in the Aggie ACHIEVE (Academic Courses in Higher Inclusive Education and Vocational Experiences) program, a four-year inclusive higher education opportunity for young adults with intellectual and developmental disabilities. Aggie ACHIEVEMates will help students accomplish the goals of the program and build relationships with them by providing individualized support and mentorship.",aggieachievemates@gmail.com,https://getinvolved.tamu.edu/org/achievemates,https://getinvolved.tamu.edu/storage/organizations/119/images/icon.jpeg,Aggie,Achievemates,Program
Aggie Actuaries,"Aggie Actuaries helps students further their understanding of actuarial science by bringing in employees from various actuarial firms. This allows students the opportunity to not only learn about the actuarial profession, but also to network with potential employers. Companies visit weekly and talk about what they do, how they do it, and overall serve as a source for students to ask questions and learn more about what an actuary does on a day to day basis.",aggieacts@listserv.tamu.edu,https://getinvolved.tamu.edu/org/aggieactuaries,https://getinvolved.tamu.edu/images/tamu-logo-white.png,Actuarial,Actuaries,Aggie
Aggie Adaptive Sports,"Our purpose is to facilitate adaptive sports as a healthy form of recreation to students, veterans, and community members in an effort to promote the physical and mental benefits that adaptive sports possess. We strive to bring veterans, students, and community members disabled and able-bodied, together that will promote a sense of community between individuals in different circumstances with differing levels of ability. The officers of Aggie Adaptive Sports: desire to encourage and motivate others who have a disability to have the courage to be persistent, tenacious, and to step out of your ""comfort zone"" and try something new because we all have something unique to bring to an organization. Our motto: We Adapt, We Overcome, and We Conquer",,https://getinvolved.tamu.edu/org/121,https://getinvolved.tamu.edu/images/tamu-logo-white.png,Sports,Adaptive,Community
Aggie Advertising Club,To provide and promote a better understanding of the functions of advertising; to encourage advertising professionalism through advertising education; to develop the individual abilities of its members; and to promote fellowship and free exchange of ideas.,,https://getinvolved.tamu.edu/org/advertising,https://getinvolved.tamu.edu/storage/organizations/122/images/icon.jpeg,Advertising,Promote,Understanding
Aggie Aerospace Women in Engineering,"To support and encourage women at the Texas A&M Department of Aerospace Engineering through social, professional, and academic events, as well as to build a social community in the aerospace department.",aggieawe@gmail.com,https://getinvolved.tamu.edu/org/aawe,https://getinvolved.tamu.edu/images/tamu-logo-white.png,Engineering,Technical,Innovation
Aggie Ambassadors,,kylewmccall@tamu.edu,https://getinvolved.tamu.edu/org/aggieambassadors,https://getinvolved.tamu.edu/images/tamu-logo-white.png,Nan,Ambassadors,Aggie
Aggie Angels,Aggie Angels is a support group for the TAMU basketball teams. On game days we sit together as a group and cheer on our fellow Aggies. We create a social environment that promotes a close sisterhood among our members.,aggieangels@gmail.com,https://getinvolved.tamu.edu/org/aggie-angels,https://getinvolved.tamu.edu/images/tamu-logo-white.png,Aggie,Angels,Group
